title,genre,Poster
10 Cloverfield Lane (2016),Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
10 Years (2011),Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3NTY3ODAzOF5BMl5BanBnXkFtZTcwMTI4MDQyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
12 Years a Slave (2013),Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
1971 (2014),Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzNTU4NDAzM15BMl5BanBnXkFtZTgwNTI4NzgzMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
2 Days in New York (2012),Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTU2MDgyNl5BMl5BanBnXkFtZTcwNzk4NDI5Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
2 Guns (2013),Action|Comedy|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
21 Jump Street (2012),Action|Comedy|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
22 Jump Street (2014),Action|Comedy|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
30 Minutes or Less (2011),Action|Comedy|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
300: Rise of an Empire (2014),Action|Drama|War|IMAX,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwNTU2MjAwMDdeQTJeQWpwZ15BbWU3MDk2Njc2Njk@._V1_UX182_CR0,0,182,268_AL_.jpg"
42 (2013),Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
45 Years (2015),Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
47 Ronin (2013),Action|Adventure|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
50/50 (2011),Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
56 Up (2012),Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDYxNDQ2NDEzNl5BMl5BanBnXkFtZTcwMzc0Mjg3OA@@._V1_UY268_CR2,0,182,268_AL_.jpg"
7 Days in Hell (2015),Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTE0NzM5OV5BMl5BanBnXkFtZTgwMDYwMDc1NjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
99 Homes (2014),Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyODExMDc0M15BMl5BanBnXkFtZTgwMjY2ODg4NTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Deadly Adoption (2015),Comedy|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTU1MzMxMDgtNmJkMC00ZjEwLTgyZWUtMjY3ZjQ4Mzk5YTJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
A Girl Like Her (2015),Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NTE4MDAzMF5BMl5BanBnXkFtZTgwNDc4NjIyNDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Million Ways to Die in the West (2014),Comedy|Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDcyNjg0MV5BMl5BanBnXkFtZTgwMzk4NTA4MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Most Violent Year (2014),Action|Crime|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4OTY4ODg3Ml5BMl5BanBnXkFtZTgwMTI1MTg1MzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Most Wanted Man (2014),Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BODY2MTA0MjYzMl5BMl5BanBnXkFtZTgwOTE3NzE4MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Very Murray Christmas (2015),Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MDI2NjAzMl5BMl5BanBnXkFtZTgwNDY4NDgyNzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
Abduction (2011),Action|Drama|Mystery|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzU3OTg0Nl5BMl5BanBnXkFtZTcwNDY5MDY2Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
About Last Night (2014),Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3OTc4NDMzNF5BMl5BanBnXkFtZTgwNjQ2NzY3MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
About Time (2013),Drama|Fantasy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_UX182_CR0,0,182,268_AL_.jpg"
Abraham Lincoln: Vampire Hunter (2012),Action|Fantasy|Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjY2Mzc0MDA4NV5BMl5BanBnXkFtZTcwOTg5OTcxNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Admission (2013),Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTE2OTkwNzg5Ml5BMl5BanBnXkFtZTcwOTY0NzQ3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
African Cats (2011),Adventure|Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxOTQ3MjM5OV5BMl5BanBnXkFtZTcwMDYzMjAyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
After Earth (2013),Action|Adventure|Sci-Fi|IMAX,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
